"","pkg","pub_date"
"13956","pegas","2009-05-13"
"13957","PEGroupTesting","2016-09-15"
"13958","PEIMAN2","2022-11-21"
"13959","PEIP","2012-05-19"
"13960","PEkit","2021-11-22"
"13961","pell","2022-08-16"
"13962","PELVIS","2018-08-05"
"13963","pema","2021-12-15"
"13964","pempi","2023-10-09"
"13965","pems.utils","2016-03-02"
"13966","pemultinom","2023-02-16"
"13967","penAFT","2022-01-25"
"13968","penalized","2007-07-07"
"13969","penalizedcdf","2023-01-30"
"13970","penalizedclr","2021-04-22"
"13971","penalizedSVM","2009-01-14"
"13972","penaltyLearning","2017-06-08"
"13973","pencal","2020-11-25"
"13974","pencopulaCond","2017-05-31"
"13975","PenCoxFrail","2016-03-15"
"13976","pendensity","2009-09-18"
"13977","penetrance","2025-03-03"
"13978","penfa","2021-07-12"
"13979","PenIC","2020-01-09"
"13980","penMSM","2014-07-02"
"13981","penPHcure","2019-11-20"
"13982","penppml","2021-09-09"
"13983","pense","2017-10-25"
"13984","pensim","2011-01-25"
"13985","pensynth","2024-03-15"
"13986","peopleanalytics","2022-10-25"
"13987","peopleanalyticsdata","2021-01-07"
"13988","pEPA","2024-07-09"
"13989","PEPBVS","2023-09-19"
"13990","pepe","2022-05-13"
"13991","peperr","2008-07-29"
"13992","PepMapViz","2024-11-13"
"13993","peppm","2020-06-25"
"13994","pepr","2020-06-04"
"13995","PepSAVIms","2016-12-03"
"13996","Peptides","2014-02-20"
"13997","peptoolkit","2023-07-13"
"13998","peramo","2022-08-10"
"13999","perARMA","2013-01-10"
"14000","Perc","2015-10-22"
"14001","perccalc","2017-09-14"
"14002","PerFit","2014-10-07"
"14003","PerfMeas","2011-11-09"
"14004","performance","2019-04-24"
"14005","PerformanceAnalytics","2007-04-16"
"14006","performanceEstimation","2014-03-11"
"14007","peRiodiCS","2018-07-05"
"14008","PeriodicTable","2017-01-05"
"14009","periscope","2019-03-06"
"14010","periscope2","2023-08-24"
"14011","PERK","2023-01-24"
"14012","perm","2009-07-30"
"14013","PermAlgo","2013-12-13"
"14014","PERMANOVA","2021-02-17"
"14015","PerMat","2024-06-14"
"14016","permChacko","2023-05-23"
"14017","PermCor","2024-08-19"
"14018","permimp","2020-06-25"
"14019","permPATH","2016-02-17"
"14020","perms","2023-08-30"
"14021","permubiome","2016-02-08"
"14022","permuco","2018-01-10"
"14023","PermutationR","2022-01-06"
"14024","permutations","2016-01-20"
"14025","permute","2011-09-08"
"14026","permutes","2019-05-18"
"14027","permutest","2024-09-26"
"14028","perplexR","2024-03-29"
"14029","PerRegMod","2024-11-14"
"14030","perry","2012-08-23"
"14031","perryExamples","2021-09-30"
"14032","persDx","2022-05-30"
"14033","PersianStemmer","2019-06-28"
"14034","persistence","2025-05-21"
"14035","PersomicsArray","2016-09-26"
"14036","personalized","2017-06-12"
"14037","personalized2part","2020-09-10"
"14038","personalr","2020-11-23"
"14039","personr","2020-06-24"
"14040","perspectev","2015-05-13"
"14041","persval","2024-08-26"
"14042","perturbR","2017-12-01"
"14043","peruflorads43","2023-08-21"
"14044","peruse","2020-12-21"
"14045","perutimber","2023-09-20"
"14046","pesel","2019-06-21"
"14047","PesticideLoadIndicator","2021-03-18"
"14048","pestr","2021-01-20"
"14049","Petersen","2023-11-12"
"14050","petersenlab","2024-04-30"
"14051","PEtests","2023-05-22"
"14052","PetfindeR","2018-05-22"
"14053","petrinetR","2016-08-18"
"14054","pewdata","2016-05-13"
"14055","pexm","2020-07-06"
"14056","pez","2014-11-08"
"14057","pfica","2020-09-18"
"14058","PFIM","2022-06-24"
"14059","PFLR","2024-07-30"
"14060","pfr","2023-08-15"
"14061","pg","2023-07-22"
"14062","PGaGEV","2024-11-26"
"14063","pgam","2004-02-21"
"14064","pgdraw","2018-07-13"
"14065","PGEE","2016-01-20"
"14066","pgee.mixed","2016-12-21"
"14067","pgenlibr","2023-05-24"
"14068","pgirmess","2005-11-02"
"14069","pgKDEsphere","2024-02-07"
"14070","pglm","2010-07-24"
"14071","PGM2","2016-12-17"
"14072","pgmm","2011-12-08"
"14073","pgnorm","2012-05-14"
"14074","pGPx","2018-08-17"
"14075","pgraph","2016-06-14"
"14076","PGRdup","2015-07-23"
"14077","pGRN","2023-01-17"
"14078","pgsc","2018-10-28"
"14079","pgTools","2021-01-25"
"14080","PH1XBAR","2021-09-13"
"14081","ph2bayes","2016-01-18"
"14082","ph2bye","2016-07-25"
"14083","ph2mult","2016-08-21"
"14084","phacking","2022-06-21"
"14085","PhageCocktail","2021-07-14"
"14086","phangorn","2008-03-25"
"14087","phantSEM","2023-09-07"
"14088","pharmaRTF","2020-05-25"
"14089","pharmaverse","2023-03-15"
"14090","pharmaverseadam","2023-09-20"
"14091","pharmaverseraw","2025-05-23"
"14092","pharmaversesdtm","2023-09-05"
"14093","pharmr","2021-10-15"
"14094","phase","2021-07-02"
"14095","Phase123","2018-02-07"
"14096","Phase12Compare","2019-08-30"
"14097","phase1PRMD","2019-02-03"
"14098","phase1RMD","2017-03-23"
"14099","phaseR","2013-10-09"
"14100","PhaseType","2011-10-12"
"14101","PhaseTypeR","2021-11-30"
"14102","phateR","2018-05-27"
"14103","PHclust","2022-02-08"
"14104","phd","2019-07-02"
"14105","phdcocktail","2023-12-04"
"14106","pheatmap","2010-10-24"
"14107","PheCAP","2020-05-02"
"14108","phecodemap","2022-01-15"
"14109","PHEindicatormethods","2018-07-30"
"14110","phenesse","2019-12-22"
"14111","phenex","2013-04-16"
"14112","phenmod","2013-08-20"
"14113","phenModel","2019-08-02"
"14114","pheno","2003-12-11"
"14115","phenocamr","2018-04-19"
"14116","phenoCDM","2018-02-16"
"14117","phenofit","2019-02-18"
"14118","phenolocrop","2023-07-13"
"14119","phenology","2012-04-06"
"14120","phenomap","2017-11-16"
"14121","phenopix","2017-06-16"
"14122","PheNorm","2021-01-07"
"14123","PhenoSpectra","2025-03-05"
"14124","Phenotype","2020-08-06"
"14125","PhenotypeR","2024-12-06"
"14126","PhenotypeSimulator","2017-05-21"
"14127","PHENTHAUproc","2023-12-06"
"14128","phers","2022-05-10"
"14129","PHeval","2014-05-27"
"14130","PheVis","2021-02-16"
"14131","Phi2rho","2023-07-20"
"14132","phia","2012-05-09"
"14133","phiDelta","2018-05-08"
"14134","philentropy","2017-04-26"
"14135","PhilipsHue","2022-05-06"
"14136","PHInfiniteEstimates","2020-02-17"
"14137","PhitestR","2021-08-03"
"14138","phm","2020-06-24"
"14139","phoenics","2024-05-22"
"14140","phoenix","2024-03-12"
"14141","phonenumber","2015-07-10"
"14142","phonetisr","2025-02-26"
"14143","phonfieldwork","2019-08-24"
"14144","phonics","2015-12-27"
"14145","phonR","2012-08-18"
"14146","phonTools","2012-07-24"
"14147","phosphoricons","2021-08-23"
"14148","photobiology","2016-02-01"
"14149","photobiologyFilters","2018-01-15"
"14150","photobiologyInOut","2016-05-24"
"14151","photobiologyLamps","2016-10-23"
"14152","photobiologyLEDs","2016-10-23"
"14153","photobiologyPlants","2016-08-03"
"14154","photobiologySensors","2018-02-26"
"14155","photobiologySun","2018-02-27"
"14156","photobiologyWavebands","2016-02-03"
"14157","PhotoGEA","2025-04-08"
"14158","photon","2024-11-11"
"14159","PhotosynQ","2021-07-13"
"14160","photosynthesis","2019-05-09"
"14161","photosynthesisLRC","2025-02-25"
"14162","phrases","2023-08-29"
"14163","phsmethods","2023-11-03"
"14164","PHSMM","2021-02-09"
"14165","phuassess","2016-10-22"
"14166","phutil","2025-05-15"
"14167","phyclust","2010-01-29"
"14168","phyext2","2015-07-17"
"14169","phylepic","2024-05-31"
"14170","phylin","2014-07-25"
"14171","phylobase","2009-11-01"
"14172","phylocanvas","2017-02-03"
"14173","phylocomr","2018-11-19"
"14174","PhylogeneticEM","2017-01-31"
"14175","PHYLOGR","2000-08-31"
"14176","phylogram","2017-06-12"
"14177","phylolm","2013-01-08"
"14178","phylolm.hp","2024-11-13"
"14179","phylometrics","2015-11-17"
"14180","phylopairs","2024-06-25"
"14181","phylopath","2016-10-05"
"14182","phyloraster","2023-11-28"
"14183","phyloregion","2020-03-30"
"14184","phylosamp","2021-11-22"
"14185","phylosem","2023-08-25"
"14186","phyloseqGraphTest","2018-03-15"
"14187","phylosignal","2015-10-26"
"14188","phylosignalDB","2025-01-16"
"14189","phylospatial","2025-01-24"
"14190","phylotate","2017-01-03"
"14191","phyloTop","2013-07-30"
"14192","phylotypr","2024-10-14"
"14193","phylter","2023-01-20"
"14194","phyr","2019-10-24"
"14195","phyreg","2014-02-08"
"14196","PhysActBedRest","2016-04-06"
"14197","PhysicalActivity","2010-09-15"
"14198","PhySortR","2015-12-16"
"14199","phytoclass","2023-09-29"
"14200","phytools","2011-08-20"
"14201","PhytosanitaryCalculator","2024-05-30"
"14202","piar","2022-02-07"
"14203","PiC","2025-02-18"
"14204","picante","2008-06-03"
"14205","PICBayes","2021-08-05"
"14206","picClip","2023-11-28"
"14207","picker","2022-03-31"
"14208","picohdr","2024-10-28"
"14209","picR","2022-10-24"
"14210","pid","2015-07-06"
"14211","PIE","2025-01-27"
"14212","PieceExpIntensity","2017-10-27"
"14213","piecemaker","2021-08-06"
"14214","piecenorms","2024-07-19"
"14215","piecepackr","2019-06-28"
"14216","piecewiseSEM","2015-10-28"
"14217","PieGlyph","2023-02-09"
"14218","piggyback","2018-09-30"
"14219","pii","2024-10-21"
"14220","piiR","2025-04-10"
"14221","Pijavski","2016-03-12"
"14222","pikchr","2024-09-30"
"14223","pillar","2017-11-20"
"14224","pim","2016-06-27"
"14225","pimeta","2018-04-06"
"14226","pinfsc50","2016-01-29"
"14227","pingers","2018-10-26"
"14228","pingr","2014-09-22"
"14229","PINMA","2023-03-26"
"14230","pinnacle.data","2017-06-29"
"14231","pinochet","2019-06-03"
"14232","pinp","2017-09-16"
"14233","pins","2019-08-28"
"14234","PINSPlus","2018-03-16"
"14235","PINstimation","2022-05-27"
"14236","pinterestadsR","2022-10-17"
"14237","pintervals","2025-03-05"
"14238","pinyin","2017-06-19"
"14239","pioneeR","2024-10-25"
"14240","pipe.design","2015-03-19"
"14241","pipebind","2022-04-29"
"14242","pipefittr","2016-09-14"
"14243","pipeflow","2024-12-02"
"14244","pipeliner","2016-12-16"
"14245","pipenostics","2021-03-02"
"14246","pipeR","2014-05-31"
"14247","piqp","2023-08-14"
"14248","piratings","2019-05-27"
"14249","pisaRT","2020-07-01"
"14250","piton","2017-05-28"
"14251","pivmet","2018-11-19"
"14252","PivotalP","2024-11-29"
"14253","pivotaltrackR","2018-01-19"
"14254","pivotea","2023-06-15"
"14255","pivottabler","2017-03-27"
"14256","piwikproR","2021-06-08"
"14257","pixarfilms","2021-03-12"
"14258","pixelclasser","2021-10-21"
"14259","pixelpuzzle","2021-02-01"
"14260","pixels","2017-10-27"
"14261","pixiedust","2015-08-03"
"14262","pixmap","2001-09-10"
"14263","PJFM","2024-11-06"
"14264","PK","2005-04-19"
"14265","pk.unit.trans","2024-11-04"
"14266","pk4adi","2023-07-16"
"14267","PKbioanalysis","2024-09-18"
"14268","PKconverter","2018-12-03"
"14269","pkdata","2020-10-01"
"14270","pkgbuild","2018-06-27"
"14271","pkgcache","2018-12-31"
"14272","pkgcond","2018-12-03"
"14273","pkgconfig","2015-07-13"
"14274","pkgdepends","2021-03-16"
"14275","pkgdepR","2022-02-16"
"14276","pkgdiff","2025-03-13"
"14277","pkgdown","2018-05-03"
"14278","pkgdown.offline","2025-05-09"
"14279","pkgfilecache","2019-10-07"
"14280","pkggraph","2017-06-02"
"14281","pkgGraphR","2024-04-02"
"14282","pkgKitten","2014-06-13"
"14283","pkglite","2021-03-08"
"14284","pkgload","2018-07-08"
"14285","pkgndep","2020-05-21"
"14286","pkgnet","2018-04-13"
"14287","pkgnews","2021-01-05"
"14288","pkgsearch","2018-11-16"
"14289","pkgverse","2018-11-14"
"14290","PKI","2012-11-05"
"14291","PKLMtest","2021-10-12"
"14292","pkmon","2016-09-24"
"14293","PKNCA","2015-11-22"
"14294","PKPDsim","2022-01-19"
"14295","pkr","2017-03-14"
"14296","pks","2011-10-14"
"14297","pKSEA","2017-12-22"
"14298","pksensi","2018-10-30"
"14299","PL94171","2021-06-15"
"14300","plac","2016-04-30"
"14301","placer","2019-09-16"
"14302","PlackettLuce","2017-12-07"
"14303","plainview","2019-03-22"
"14304","plan","2009-04-26"
"14305","Planesmuestra","2016-11-12"
"14306","PlanetNICFI","2021-06-10"
"14307","planets","2019-08-07"
"14308","planningML","2022-11-08"
"14309","planr","2023-09-16"
"14310","planscorer","2024-02-23"
"14311","plantecophys","2015-07-10"
"14312","plantphysioR","2024-03-27"
"14313","plantTracker","2023-01-11"
"14314","plaqr","2015-04-18"
"14315","plasma","2022-12-06"
"14316","PlasmaMutationDetector","2016-09-09"
"14317","Plasmidprofiler","2017-01-05"
"14318","plater","2016-10-06"
"14319","platetools","2016-06-10"
"14320","PlatformDesign","2022-06-13"
"14321","platowork","2021-05-04"
"14322","plattice","2022-10-03"
"14323","Platypus","2021-10-19"
"14324","play","2023-01-25"
"14325","PlayerChart","2024-05-27"
"14326","PlayerRatings","2012-07-26"
"14327","pldamixture","2024-03-05"
"14328","plde","2018-07-01"
"14329","pleio","2016-08-10"
"14330","pleiotest","2021-03-18"
"14331","pleLMA","2021-04-27"
"14332","PLEXI","2023-08-09"
"14333","PLFD","2021-08-09"
"14334","plfm","2013-02-22"
"14335","plfMA","2015-08-27"
"14336","plgp","2010-05-01"
"14337","plgraphics","2023-09-29"
"14338","pliman","2021-05-15"
"14339","PLindleyROC","2023-11-11"
"14340","plink","2007-09-04"
"14341","plinkFile","2020-04-05"
"14342","plinkQC","2018-11-04"
"14343","PLIS","2012-08-10"
"14344","plm","2006-06-13"
"14345","PLMIX","2016-12-21"
"14346","PLmixed","2017-07-18"
"14347","plmmr","2024-10-11"
"14348","pln","2013-01-25"
"14349","PLNmodels","2019-05-17"
"14350","plnr","2022-06-09"
"14351","plogr","2016-09-24"
"14352","PLordprob","2014-10-07"
"14353","PLORN","2022-03-21"
"14354","plot.matrix","2018-11-27"
"14355","plot3D","2014-01-07"
"14356","plot3Drgl","2016-01-18"
"14357","plot4fun","2024-02-02"
"14358","plotBart","2022-05-27"
"14359","plotbb","2021-09-08"
"14360","PlotBivInvGaus","2023-03-16"
"14361","plotcli","2024-04-24"
"14362","PlotContour","2019-05-03"
"14363","plotdap","2019-05-17"
"14364","plotDK","2021-10-01"
"14365","PlotFTIR","2024-11-13"
"14366","plotfunctions","2016-05-27"
"14367","plotGMM","2018-12-25"
"14368","plothelper","2019-04-07"
"14369","plotHMM","2022-01-19"
"14370","plotluck","2016-09-22"
"14371","plotly","2015-11-17"
"14372","plotlyGeoAssets","2018-06-06"
"14373","plotMCMC","2014-03-12"
"14374","plotMElm","2016-05-10"
"14375","plotmm","2020-07-10"
"14376","plotmo","2011-03-31"
"14377","PlotNormTest","2025-03-25"
"14378","plotor","2024-06-18"
"14379","plotpc","2009-03-10"
"14380","PlotPrjNetworks","2015-07-22"
"14381","plotprotein","2017-05-09"
"14382","plotrix","2004-08-13"
"14383","plotROC","2014-11-13"
"14384","plotscale","2018-08-31"
"14385","plotscaper","2024-10-18"
"14386","plotSEMM","2012-10-29"
"14387","plotthis","2024-11-05"
"14388","PlotTools","2023-04-18"
"14389","plotwidgets","2016-09-06"
"14390","plpoisson","2020-06-04"
"14391","PLreg","2022-03-30"
"14392","PLRModels","2013-06-26"
"14393","pls","1999-01-11"
"14394","plsdepot","2012-11-06"
"14395","plsdof","2009-11-27"
"14396","plsgenomics","2005-04-11"
"14397","PLSiMCpp","2021-12-21"
"14398","plsmmLasso","2024-04-04"
"14399","plsmod","2020-04-14"
"14400","plsmselect","2019-07-19"
"14401","plspm","2009-04-15"
"14402","plsRbeta","2011-11-30"
"14403","plsRcox","2011-01-15"
"14404","plsRglm","2010-09-20"
"14405","PLStests","2025-01-14"
"14406","plsVarSel","2016-03-30"
"14407","plu","2020-06-09"
"14408","plug","2025-01-13"
"14409","plugdensity","2004-11-03"
"14410","plumber","2016-04-14"
"14411","plumberDeploy","2021-03-22"
"14412","plumbertableau","2021-08-06"
"14413","plumbr","2011-10-26"
"14414","plume","2023-10-06"
"14415","pluscode","2018-11-14"
"14416","plusCode2","2024-04-02"
"14417","plutor","2023-10-27"
"14418","plyr","2008-10-08"
"14419","pm3","2023-03-03"
"14420","PMA","2009-02-16"
"14421","PMAPscore","2022-04-05"
"14422","pmartR","2023-12-06"
"14423","pmc","2012-01-22"
"14424","pmcalibration","2023-09-06"
"14425","pmclust","2012-02-08"
"14426","PMCMR","2014-06-25"
"14427","PMCMRplus","2018-01-17"
"14428","pmd","2018-12-02"
"14429","pMEM","2024-09-30"
"14430","pmetar","2020-09-09"
"14431","pmev","2024-07-04"
"14432","PMEvapotranspiration","2024-03-04"
"14433","pmhtutorial","2016-01-19"
"14434","pminternal","2025-03-18"
"14435","pmlbr","2020-10-02"
"14436","pmledecon","2021-08-23"
"14437","pmml","2007-02-11"
"14438","pmmlTransformations","2013-01-23"
"14439","pmparser","2022-02-17"
"14440","pmr","2010-09-11"
"14441","pmsampsize","2019-01-08"
"14442","pmultinom","2018-04-24"
"14443","pmvalsampsize","2023-11-16"
"14444","pmwg","2020-09-02"
"14445","PMwR","2018-10-28"
"14446","pmxcode","2023-05-19"
"14447","pmxcv","2024-03-26"
"14448","pmxpartab","2022-03-16"
"14449","pmxTools","2018-03-14"
"14450","PNADcIBGE","2017-10-10"
"14451","PNAR","2022-06-08"
"14452","pnd","2025-02-25"
"14453","PND.heter.cluster","2025-06-05"
"14454","PNDSIBGE","2023-11-21"
"14455","png","2010-03-17"
"14456","PNSIBGE","2020-12-14"
"14457","PNWColors","2020-06-12"
"14458","PoA","2019-03-18"
"14459","pocketapi","2020-11-20"
"14460","POCRE","2018-07-20"
"14461","pocrm","2013-03-28"
"14462","POD","2019-02-07"
"14463","PoDBAY","2021-09-21"
"14464","podcleaner","2021-11-03"
"14465","PODES","2024-11-03"
"14466","poems","2021-03-29"
"14467","POET","2012-11-07"
"14468","pogit","2015-05-02"
"14469","PogromcyDanych","2015-03-02"
"14470","poibin","2012-10-29"
"14471","PoiClaClu","2013-01-03"
"14472","poilog","2007-12-04"
"14473","POINT","2019-03-05"
"14474","pointblank","2017-08-22"
"14475","pointdensityP","2014-11-26"
"14476","PointedSDMs","2022-06-14"
"14477","PointFore","2019-02-22"
"14478","pointr","2020-06-22"
"14479","pointRes","2015-03-06"
"14480","PoisBinNonNor","2015-03-01"
"14481","poisbinom","2017-05-16"
"14482","PoisBinOrd","2015-02-03"
"14483","PoisBinOrdNonNor","2015-05-17"
"14484","PoisBinOrdNor","2015-05-29"
"14485","poisDoubleSamp","2015-02-02"
"14486","poisFErobust","2018-07-10"
"14487","poismf","2019-08-01"
"14488","PoisNonNor","2015-02-06"
"14489","PoisNor","2014-03-19"
"14490","poisson.glm.mix","2012-07-29"
"14491","PoissonBinomial","2020-01-22"
"14492","poissoned","2024-10-21"
"14493","PoissonMultinomial","2022-01-13"
"14494","PoissonPCA","2019-05-01"
"14495","poissonreg","2020-04-14"
"14496","poistweedie","2021-01-27"
"14497","pokemon","2023-03-22"
"14498","PolarCAP","2023-07-10"
"14499","polaroid","2020-03-30"
"14500","polarzonoid","2025-06-13"
"14501","poLCA","2006-06-14"
"14502","poldis","2024-07-21"
"14503","PolicyPortfolios","2021-03-01"
"14504","policytree","2020-01-16"
"14505","polimetrics","2022-01-17"
"14506","poliscidata","2016-10-25"
"14507","polished","2020-07-01"
"14508","PolisheR","2024-11-29"
"14509","polite","2019-11-30"
"14510","politeness","2017-11-02"
"14511","politicsR","2023-03-16"
"14512","polle","2022-10-31"
"14513","pollen","2016-10-02"
"14514","pollimetry","2018-09-11"
"14515","pollster","2020-03-25"
"14516","polmineR","2016-06-22"
"14517","polspline","2003-03-19"
"14518","Poly4AT","2024-10-21"
"14519","polyaAeppli","2013-11-25"
"14520","polyapost","2011-04-03"
"14521","Polychrome","2017-03-17"
"14522","polyclip","2013-10-06"
"14523","polycor","2004-12-04"
"14524","PolycrossDesigns","2022-10-19"
"14525","polyCub","2013-05-11"
"14526","polyglotr","2023-01-26"
"14527","PolyHaplotyper","2021-02-10"
"14528","polykde","2025-02-17"
"14529","polylabelr","2018-11-02"
"14530","polymapR","2017-12-05"
"14531","polymatching","2025-02-07"
"14532","polyMatrix","2020-01-16"
"14533","polynom","1999-04-12"
"14534","PolynomF","2008-05-13"
"14535","PolyPatEx","2015-10-07"
"14536","polypharmacy","2021-07-12"
"14537","polypoly","2021-05-27"
"14538","polyqtlR","2020-12-16"
"14539","polyRAD","2018-08-02"
"14540","polyreg","2019-04-23"
"14541","polysat","2010-06-24"
"14542","polySegratio","2009-11-17"
"14543","polySegratioMM","2009-11-17"
"14544","PolyTree","2024-03-25"
"14545","polywog","2012-05-12"
"14546","POMADE","2022-12-02"
"14547","POMaSPU","2017-06-20"
"14548","pomcheckr","2021-04-26"
"14549","pomdp","2018-12-25"
"14550","pomdpSolve","2022-02-08"
"14551","Pomic","2008-06-01"
"14552","pomodoro","2022-01-10"
"14553","pomp","2007-07-22"
"14554","pompom","2018-01-11"
"14555","pompp","2022-09-27"
"14556","POMS","2022-12-14"
"14557","poobly","2025-01-15"
"14558","pooh","2013-03-29"
"14559","pool","2017-09-23"
"14560","poolABC","2023-08-08"
"14561","PoolBal","2023-11-22"
"14562","PoolDilutionR","2023-02-15"
"14563","PooledCohort","2021-04-19"
"14564","PooledMeanGroup","2017-12-14"
"14565","pooledpeaks","2024-09-03"
"14566","poolfstat","2018-03-14"
"14567","poolHelper","2023-01-25"
"14568","poolr","2020-02-21"
"14569","PoolTestR","2021-02-08"
"14570","poolVIM","2018-07-30"
"14571","poorman","2020-04-01"
"14572","pop","2016-06-07"
"14573","pop.lion","2022-04-01"
"14574","pop.wolf","2016-04-06"
"14575","popbayes","2021-11-05"
"14576","popbio","2007-02-16"
"14577","PopComm","2025-04-25"
"14578","popdemo","2011-12-19"
"14579","PoPdesign","2021-12-08"
"14580","PopED","2014-04-28"
"14581","popEpi","2015-09-29"
"14582","PopGenHelpR","2023-02-13"
"14583","popgenr","2020-07-02"
"14584","PopGenReport","2012-11-28"
"14585","POPInf","2024-02-20"
"14586","popkin","2018-01-15"
"14587","popPCR","2021-03-03"
"14588","poppr","2013-04-26"
"14589","popPyramid","2021-12-15"
"14590","popReconstruct","2012-08-30"
"14591","popsom7","2025-02-19"
"14592","popstudy","2022-06-06"
"14593","poptrend","2016-12-13"
"14594","PopulateR","2025-01-29"
"14595","population","2015-12-23"
"14596","PopulationGrowthR","2022-05-10"
"14597","populationPDXdesign","2018-06-15"
"14598","populR","2021-09-09"
"14599","poputils","2024-05-24"
"14600","PopVar","2015-04-01"
"14601","porridge","2019-11-01"
"14602","port4me","2022-10-29"
"14603","PortalHacienda","2020-06-13"
"14604","portalr","2018-11-14"
"14605","portes","2010-09-09"
"14606","portfolio","2005-11-17"
"14607","portfolio.optimization","2018-08-24"
"14608","PortfolioAnalytics","2015-04-19"
"14609","portfolioBacktest","2019-06-19"
"14610","PortfolioOptim","2017-04-20"
"14611","portion","2023-10-31"
"14612","portn","2023-08-14"
"14613","portvine","2022-05-31"
"14614","poset","2024-06-19"
"14615","POSetR","2021-03-01"
"14616","PoSI","2017-01-15"
"14617","PoSIAdjRSquared","2024-08-26"
"14618","PosiR","2025-04-30"
"14619","positron.tutorials","2025-03-24"
"14620","posologyr","2023-06-05"
"14621","PosRatioDist","2021-07-13"
"14622","POSSA","2022-07-18"
"14623","postcard","2025-04-08"
"14624","postcards","2020-12-14"
"14625","PostcodesioR","2019-08-24"
"14626","postdoc","2022-11-28"
"14627","posterior","2021-07-13"
"14628","PosteriorBootstrap","2019-10-09"
"14629","postGGIR","2021-03-01"
"14630","postHoc","2020-03-24"
"14631","postinfectious","2019-04-07"
"14632","postlightmercury","2017-06-26"
"14633","postlogic","2018-11-26"
"14634","POSTm","2021-04-30"
"14635","postpack","2020-09-17"
"14636","POT","2005-09-06"
"14637","potential","2020-11-18"
"14638","poth","2024-11-01"
"14639","potions","2023-05-02"
"14640","potools","2021-06-30"
"14641","potts","2009-09-22"
"14642","PottsUtils","2011-04-01"
"14643","pould","2020-04-15"
"14644","POUMM","2017-03-11"
"14645","POV","2020-11-16"
"14646","povmap","2023-08-29"
"14647","pow.int","2022-08-12"
"14648","powdist","2017-08-05"
"14649","power.transform","2024-09-13"
"14650","Power2Stage","2014-01-02"
"14651","poweRbal","2024-06-28"
"14652","powerbiR","2022-08-23"
"14653","powerbydesign","2016-04-05"
"14654","powerCompRisk","2017-05-12"
"14655","powerEQTL","2017-01-24"
"14656","PoweREST","2024-09-09"
"14657","powerGWASinteraction","2012-10-29"
"14658","powerHE","2025-02-10"
"14659","powerindexR","2023-04-13"
"14660","powerjoin","2022-01-13"
"14661","powerLATE","2020-08-14"
"14662","poweRlaw","2013-06-07"
"14663","powerly","2021-09-30"
"14664","powerMediation","2010-02-04"
"14665","powerNLSEM","2024-07-31"
"14666","powerpkg","2006-02-08"
"14667","powerPLS","2024-03-21"
"14668","PowerSDI","2023-11-19"
"14669","powerSurvEpi","2009-04-17"
"14670","powertools","2024-11-14"
"14671","PowerTOST","2010-05-10"
"14672","PowerUpR","2016-11-01"
"14673","powRICLPM","2022-10-07"
"14674","PP","2011-09-10"
"14675","PPbigdata","2024-04-30"
"14676","pPCA","2024-10-11"
"14677","ppcc","2017-06-28"
"14678","PPCDT","2024-05-25"
"14679","PPCI","2017-11-22"
"14680","ppclust","2017-11-29"
"14681","ppcor","2012-10-29"
"14682","ppcSpatial","2018-02-16"
"14683","ppdiag","2021-03-04"
"14684","ppendemic","2021-02-17"
"14685","PPforest","2017-12-15"
"14686","ppgam","2020-04-06"
"14687","ppgm","2024-06-11"
"14688","ppgmmga","2018-10-15"
"14689","ppitables","2018-03-05"
"14690","PPLasso","2022-02-08"
"14691","pplot","2025-04-07"
"14692","ppmf","2021-12-15"
"14693","ppmHR","2020-01-07"
"14694","PPMiss","2023-03-19"
"14695","ppmlasso","2013-10-15"
"14696","PPMR","2019-08-09"
"14697","ppmSuite","2020-11-23"
"14698","PPQplan","2018-06-15"
"14699","ppRank","2024-07-02"
"14700","ppRep","2023-06-16"
"14701","PPRL","2018-03-20"
"14702","pprof","2024-12-12"
"14703","pps","2003-07-24"
"14704","ppsbm","2018-03-19"
"14705","ppseq","2021-09-09"
"14706","PPSFS","2022-03-21"
"14707","ppsr","2021-03-02"
"14708","PPTcirc","2020-11-09"
"14709","PPtreeViz","2015-05-08"
"14710","pql","2024-05-21"
"14711","PQLseq","2018-06-10"
"14712","pqrBayes","2023-09-14"
"14713","pqrfe","2022-10-20"
"14714","pQTLdata","2025-03-07"
"14715","PRA","2024-07-02"
"14716","praatpicture","2024-03-07"
"14717","prabclus","2003-07-01"
"14718","pracma","2011-03-19"
"14719","pracpac","2023-03-21"
"14720","PracticalEquiDesign","2021-12-06"
"14721","practicalSigni","2023-02-17"
"14722","PracTools","2013-02-04"
"14723","prais","2015-03-20"
"14724","praise","2015-08-11"
"14725","PRANA","2023-03-29"
"14726","praznik","2017-11-20"
"14727","prcbench","2016-01-08"
"14728","prclust","2015-11-06"
"14729","prcr","2017-02-17"
"14730","PRDA","2020-12-08"
"14731","pre","2016-12-24"
"14732","PRECAST","2022-06-22"
"14733","precintcon","2015-02-19"
"14734","pRecipe","2021-06-10"
"14735","precisely","2020-06-02"
"14736","precisePlacement","2021-06-15"
"14737","PreciseSums","2017-11-14"
"14738","precmed","2022-10-12"
"14739","precommit","2020-06-13"
"14740","precondition","2023-03-28"
"14741","precrec","2015-12-04"
"14742","predfairness","2021-07-28"
"14743","predhy","2019-11-04"
